book_id,original_title,authors,isbn,original_publication_year,average_rating
1,The Hunger Games,Suzanne Collins,439023483,2008,4.34
2,Harry Potter and the Philosopher's Stone,"J.K. Rowling, Mary GrandPré",439554934,1997,4.44
3,Twilight,Stephenie Meyer,316015849,2005,3.57
4,To Kill a Mockingbird,Harper Lee,61120081,1960,4.25
5,The Great Gatsby,F. Scott Fitzgerald,743273567,1925,3.89
6,The Fault in Our Stars,John Green,525478817,2012,4.26
7,The Hobbit or There and Back Again,J.R.R. Tolkien,618260307,1937,4.25
8,The Catcher in the Rye,J.D. Salinger,316769177,1951,3.79
9,Angels & Demons ,Dan Brown,1416524797,2000,3.85
10,Pride and Prejudice,Jane Austen,679783261,1813,4.24
11,The Kite Runner ,Khaled Hosseini,1594480001,2003,4.26
12,Divergent,Veronica Roth,62024035,2011,4.24
13,Nineteen Eighty-Four,"George Orwell, Erich Fromm, Celâl Üster",451524934,1949,4.14
14,Animal Farm: A Fairy Story,George Orwell,452284244,1945,3.87
15,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",553296981,1947,4.1
16,Män som hatar kvinnor,"Stieg Larsson, Reg Keeland",307269752,2005,4.11
17,Catching Fire,Suzanne Collins,439023491,2009,4.3
18,Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPré, Rufus Beck",043965548X,1999,4.53
19, The Fellowship of the Ring,J.R.R. Tolkien,618346252,1954,4.34
20,Mockingjay,Suzanne Collins,439023513,2010,4.03
21,Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré",439358078,2003,4.46
22,The Lovely Bones,Alice Sebold,316166685,2002,3.77
23,Harry Potter and the Chamber of Secrets,"J.K. Rowling, Mary GrandPré",439064864,1998,4.37
24,Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPré",439139600,2000,4.53
25,Harry Potter and the Deathly Hallows,"J.K. Rowling, Mary GrandPré",545010225,2007,4.61
26,The Da Vinci Code,Dan Brown,307277674,2003,3.79
27,Harry Potter and the Half-Blood Prince,"J.K. Rowling, Mary GrandPré",439785960,2005,4.54
28,Lord of the Flies ,William Golding,140283331,1954,3.64
29,An Excellent conceited Tragedie of Romeo and Juliet,"William Shakespeare, Robert           Jackson",743477111,1595,3.73
30,Gone Girl,Gillian Flynn,297859382,2012,4.03
31,The Help,Kathryn Stockett,399155341,2009,4.45
32,Of Mice and Men ,John Steinbeck,142000671,1937,3.84
33,Memoirs of a Geisha,Arthur Golden,739326228,1997,4.08
34,Fifty Shades of Grey,E.L. James,1612130291,2011,3.67
35,O Alquimista,"Paulo Coelho, Alan R. Clarke",61122416,1988,3.82
36,The Giver,Lois Lowry,385732554,1993,4.12
37,"The Lion, the Witch and the Wardrobe",C.S. Lewis,60764899,1950,4.19
38,The Time Traveler's Wife,Audrey Niffenegger,965818675,2003,3.95
39,A Game of Thrones,George R.R. Martin,553588486,1996,4.45
40,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",Elizabeth Gilbert,143038419,2006,3.51
41,The Lightning Thief,Rick Riordan,786838655,2005,4.23
42,Little Women,Louisa May Alcott,451529308,1868,4.04
43,Jane Eyre,"Charlotte Brontë, Michael Mason",142437204,1847,4.1
44,The Notebook,Nicholas Sparks,553816713,1996,4.06
45,Life of Pi,Yann Martel,770430074,2001,3.88
46,Water for Elephants,Sara Gruen,1565125606,2006,4.07
47,The Book Thief,Markus Zusak,375831002,2005,4.36
48,Fahrenheit 451,Ray Bradbury,307347974,1953,3.97
49,"New Moon (Twilight, #2)",Stephenie Meyer,316160199,2006,3.52
50,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Shel Silverstein,60513039,1974,4.29
51,City of Bones,Cassandra Clare,1416914285,2007,4.12
52,Eclipse,Stephenie Meyer,316160202,2007,3.69
53,Eragon,Christopher Paolini,375826696,2002,3.86
54,The Hitchhiker's Guide to the Galaxy,Douglas Adams,345391802,1979,4.2
55,Brave New World,Aldous Huxley,60929871,1932,3.97
56,Breaking Dawn,Stephenie Meyer,031606792X,2008,3.7
57,The Secret Life of Bees,Sue Monk Kidd,142001740,2001,4.01
58,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",142437174,1884,3.8
59,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",64410935,1952,4.15
60,The Curious Incident of the Dog in the Night-Time,Mark Haddon,1400032717,2003,3.85
61,The Girl on the Train,Paula Hawkins,1594633665,2015,3.88
62,Northern Lights,Philip Pullman,679879242,1995,3.94
63,Wuthering Heights,"Emily Brontë, Richard J. Dunn",393978893,1847,3.82
64,My Sister's Keeper,Jodi Picoult,743454537,2004,4.06
65,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Kurt Vonnegut Jr.,385333846,1969,4.06
66,Gone with the Wind,Margaret Mitchell,446675539,1936,4.28
67,A Thousand Splendid Suns,Khaled Hosseini,1594489505,2007,4.34
68,The Perks of Being a Wallflower,Stephen Chbosky,671027344,1999,4.21
69,Insurgent,Veronica Roth,7442912,2012,4.07
70,Ender's Game,Orson Scott Card,812550706,1985,4.3
